Date,Game ID,Home Team,Away Team,Period,Home Team Goals,Away Team Goals,Clock,Home Team Players,Away Team Players,Team,Event,Player,Detail 1,Detail 2,Player 2,Goalie
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:20:00,5,5,Penn St.,Faceoff Won,Rachel Weiss,,,Carlie Magier,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:19:29,5,5,Penn St.,Shot,Amy Dobson,Blocked,,Kailey Langefels,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:18:38,5,5,Holy Cross,Faceoff Won,Mary Edmonds,,,Kiara Zanon,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:18:29,5,5,Holy Cross,Shot,Emma Lange,Missed,,,Josie Bothun
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:17:15,5,5,Holy Cross,Shot,Grace Johnson,Missed,,,Josie Bothun
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:16:57,5,5,Holy Cross,Shot,Vaia Graves,Blocked,,Mikayla Lantto,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:16:38,5,5,Penn St.,Faceoff Won,Rachel Weiss,,,Mary Edmonds,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:16:23,5,5,Holy Cross,Faceoff Won,Mary Edmonds,,,Kiara Zanon,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:16:04,5,5,Holy Cross,Shot,Bailey Bennett,Missed,,,Josie Bothun
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:15:30,5,5,Penn St.,Shot,Anna Promersberger,Missed,,,Jada Brenon
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:15:01,5,5,Penn St.,Shot,Maeve Connolly,Blocked,,Vaia Graves,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:14:27,5,5,Penn St.,Shot,Rachel Weiss,Missed,,,Jada Brenon
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:14:25,5,5,Penn St.,Faceoff Won,Kiara Zanon,,,Carlie Magier,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:14:07,5,5,Penn St.,Shot,Karley Garcia,Wide,,,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:13:45,5,5,Penn St.,Shot,Avery Mitchell,Wide,,,
2021-10-09,5127869,Penn St.,Holy Cross,1,0,0,00:13:15,5,5,Holy Cross,Shot,Bailey Bennett,Blocked,,Avery Mitchell,
